ID,traded_currencies,percentage_of_market,source,price
Cryptsy - Librexcoin / Bitcoin,"Librexcoin, Bitcoin",0.00%,Cryptsy,0.04
Cryptsy - LiteBar / Bitcoin,"LiteBar, Bitcoin",0.00%,Cryptsy,0.03
BTC-E - Litecoin / Bitcoin,"Litecoin, Bitcoin",12.74%,BTC-E,3.99
Cryptsy - Litecoin / Bitcoin,"Litecoin, Bitcoin",12.74%,Cryptsy,3.99
HitBTC - Litecoin / Bitcoin,"Litecoin, Bitcoin",12.74%,HitBTC,3.98
BTC - Litecoin / Chinese Yuan (1),"Litecoin, Chinese Yuan",12.74%,BTC,3.99
BTC - Litecoin / Chinese Yuan (2),"Litecoin, Chinese Yuan",12.74%,BTC,3.98
BTC China - Litecoin / Chinese Yuan,"Litecoin, Chinese Yuan",12.74%,BTC China,3.99
Bitfinex - Litecoin / US Dollar,"Litecoin, US Dollar",12.74%,Bitfinex,3.98
BTC-E - Litecoin / US Dollar,"Litecoin, US Dollar",12.74%,BTC-E,3.9
HitBTC - Litecoin / US Dollar,"Litecoin, US Dollar",12.74%,HitBTC,3.99
OkCoin Intl. - Litecoin / US Dollar,"Litecoin, US Dollar",12.74%,OkCoin Intl.,4
Cryptoine - Magi / Bitcoin,"Magi, Bitcoin",0.00%,Cryptoine,0.02
MasterXchange - MaidSafeCoin / Bitcoin,"MaidSafeCoin, Bitcoin",0.03%,MasterXchange,0.02
Poloniex - MaidSafeCoin / Bitcoin,"MaidSafeCoin, Bitcoin",0.03%,Poloniex,0.02
Poloniex - MaidSafeCoin / Monero,"MaidSafeCoin, Monero",0.03%,Poloniex,2.89
Poloniex - Maieuticoin / Bitcoin,"Maieuticoin, Bitcoin",0.00%,Poloniex,26.73
SwissCEX - Marinecoin / Bitcoin,"Marinecoin, Bitcoin",0.00%,SwissCEX,0.02
BTER - Mastercoin / Bitcoin,"Mastercoin, Bitcoin",0.00%,BTER,3.44
Mastercoin DEX - Mastercoin / Bitcoin,"Mastercoin, Bitcoin",0.00%,Mastercoin DEX,3.82
MasterXchange - Mastercoin / Bitcoin,"Mastercoin, Bitcoin",0.00%,MasterXchange,3.73
Poloniex - Mastercoin / Bitcoin,"Mastercoin, Bitcoin",0.00%,Poloniex,3.65
Bittrex - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,Bittrex,0.02
BTER - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,BTER,0.02
Coinbroker - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,Coinbroker,0.02
Coins-E - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,Coins-E,0.02
Cryptsy - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,Cryptsy,0.02
mcxNOW - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,mcxNOW,0.02
SwissCEX - MaxCoin / Bitcoin,"MaxCoin, Bitcoin",0.04%,SwissCEX,0.03
Bittylicious - MaxCoin / British Pound,"MaxCoin, British Pound",0.04%,Bittylicious,0.02
BTER - MaxCoin / Chinese Yuan,"MaxCoin, Chinese Yuan",0.04%,BTER,0.02
Cryptsy - MaxCoin / Litecoin,"MaxCoin, Litecoin",0.04%,Cryptsy,0.02
BTER - Megacoin / Bitcoin,"Megacoin, Bitcoin",0.00%,BTER,0.03
Coins-E - Megacoin / Bitcoin,"Megacoin, Bitcoin",0.00%,Coins-E,0.02
Cryptsy - Megacoin / Bitcoin,"Megacoin, Bitcoin",0.00%,Cryptsy,0.03
BTC - Megacoin / Chinese Yuan,"Megacoin, Chinese Yuan",0.00%,BTC,0.03
BTER - Megacoin / Chinese Yuan,"Megacoin, Chinese Yuan",0.00%,BTER,0.03
Cryptsy - Megacoin / Litecoin,"Megacoin, Litecoin",0.00%,Cryptsy,0.02
BTER - MGW / Bitcoin,"MGW, Bitcoin",0.00%,BTER,0.19
Nxt Asset Exchange - MGW / Nxt,"MGW, Nxt",0.00%,Nxt Asset Exchange,0.1
Coins-E - Minerals / Bitcoin,"Minerals, Bitcoin",0.00%,Coins-E,0.02
AllCoin - MonaCoin / Bitcoin,"MonaCoin, Bitcoin",0.01%,AllCoin,0.05
Bittrex - MonaCoin / Bitcoin,"MonaCoin, Bitcoin",0.01%,Bittrex,0.05
Mona Tore - MonaCoin / Bitcoin,"MonaCoin, Bitcoin",0.01%,Mona Tore,0.05
Ybex - MonaCoin / Bitcoin,"MonaCoin, Bitcoin",0.01%,Ybex,0.04
Mona Tore - MonaCoin / Litecoin,"MonaCoin, Litecoin",0.01%,Mona Tore,0.06
Mona Tore - MonaCoin / Primecoin,"MonaCoin, Primecoin",0.01%,Mona Tore,0.07
Bittrex - Monero / Bitcoin,"Monero, Bitcoin",0.21%,Bittrex,0.93
BTER - Monero / Bitcoin,"Monero, Bitcoin",0.21%,BTER,0.92
Coin-Swap - Monero / Bitcoin,"Monero, Bitcoin",0.21%,Coin-Swap,1.15
HitBTC - Monero / Bitcoin,"Monero, Bitcoin",0.21%,HitBTC,0.98
Melotic - Monero / Bitcoin,"Monero, Bitcoin",0.21%,Melotic,0.92
Poloniex - Monero / Bitcoin,"Monero, Bitcoin",0.21%,Poloniex,0.97
Bittrex - Monero / BlackCoin,"Monero, BlackCoin",0.21%,Bittrex,0.82
BTER - Monero / Chinese Yuan,"Monero, Chinese Yuan",0.21%,BTER,0.9
BTC-E - Namecoin / Bitcoin,"Namecoin, Bitcoin",0.27%,BTC-E,1.03
BTER - Namecoin / Bitcoin,"Namecoin, Bitcoin",0.27%,BTER,0.98
CEX.IO - Namecoin / Bitcoin,"Namecoin, Bitcoin",0.27%,CEX.IO,1.03
Cryptsy - Namecoin / Bitcoin,"Namecoin, Bitcoin",0.27%,Cryptsy,1.02
Kraken - Namecoin / Bitcoin,"Namecoin, Bitcoin",0.27%,Kraken,1.01
Poloniex - Namecoin / Bitcoin,"Namecoin, Bitcoin",0.27%,Poloniex,0.96
useCryptos - Namecoin / Bitcoin,"Namecoin, Bitcoin",0.27%,useCryptos,1.11
Vircurex - Namecoin / Bitcoin,"Namecoin, Bitcoin",0.27%,Vircurex,1.05
Cryptsy - Namecoin / Ripple,"Namecoin, Ripple",0.27%,Cryptsy,0.88
BTC-E - Namecoin / US Dollar,"Namecoin, US Dollar",0.27%,BTC-E,1.02
Bittrex - NautilusCoin / Bitcoin,"NautilusCoin, Bitcoin",0.01%,Bittrex,0.05
Cryptsy - NautilusCoin / Bitcoin,"NautilusCoin, Bitcoin",0.01%,Cryptsy,0.05
Poloniex - NautilusCoin / Bitcoin,"NautilusCoin, Bitcoin",0.01%,Poloniex,0.05
useCryptos - NautilusCoin / Bitcoin,"NautilusCoin, Bitcoin",0.01%,useCryptos,0.05
Nxt Asset Exchange - NEMstake / Nxt,"NEMstake, Nxt",0.02%,Nxt Asset Exchange,810.46
Bittrex - NeosCoin / Bitcoin,"NeosCoin, Bitcoin",0.00%,Bittrex,0.03
Poloniex - NeosCoin / Bitcoin,"NeosCoin, Bitcoin",0.00%,Poloniex,0.03
BTC-E - Novacoin / Bitcoin,"Novacoin, Bitcoin",0.02%,BTC-E,0.91
Coinbroker - Novacoin / Bitcoin,"Novacoin, Bitcoin",0.02%,Coinbroker,0.91
Coins-E - Novacoin / Bitcoin,"Novacoin, Bitcoin",0.02%,Coins-E,1.36
Cryptex - Novacoin / Bitcoin,"Novacoin, Bitcoin",0.02%,Cryptex,0.94
Cryptsy - Novacoin / Bitcoin,"Novacoin, Bitcoin",0.02%,Cryptsy,0.91
Vircurex - Novacoin / Bitcoin,"Novacoin, Bitcoin",0.02%,Vircurex,0.63
BTC-E - Novacoin / US Dollar,"Novacoin, US Dollar",0.02%,BTC-E,0.89
AllCoin - NuBits / Bitcoin,"NuBits, Bitcoin",2.00%,AllCoin,1
BTER - NuBits / Bitcoin,"NuBits, Bitcoin",2.00%,BTER,1
CCEDK - NuBits / Bitcoin,"NuBits, Bitcoin",2.00%,CCEDK,1.01
Poloniex - NuBits / Bitcoin,"NuBits, Bitcoin",2.00%,Poloniex,0.48
CCEDK - NuBits / Euro,"NuBits, Euro",2.00%,CCEDK,1
CCEDK - NuBits / Peercoin,"NuBits, Peercoin",2.00%,CCEDK,1.01
Bittrex - Nxt / Bitcoin,"Nxt, Bitcoin",0.09%,Bittrex,0.02
BTC - Nxt / Bitcoin,"Nxt, Bitcoin",0.09%,BTC,0.02
BTER - Nxt / Bitcoin,"Nxt, Bitcoin",0.09%,BTER,0.02
Cryptsy - Nxt / Bitcoin,"Nxt, Bitcoin",0.09%,Cryptsy,0.02
DGEX - Nxt / Bitcoin,"Nxt, Bitcoin",0.09%,DGEX,0.03
HitBTC - Nxt / Bitcoin,"Nxt, Bitcoin",0.09%,HitBTC,0.02
Poloniex - Nxt / Bitcoin,"Nxt, Bitcoin",0.09%,Poloniex,0.02
BTC - Nxt / Chinese Yuan,"Nxt, Chinese Yuan",0.09%,BTC,0.02
BTER - Nxt / Chinese Yuan,"Nxt, Chinese Yuan",0.09%,BTER,0.02
CCEDK - Nxt / Euro,"Nxt, Euro",0.09%,CCEDK,0.02
Poloniex - NXTInspect / Bitcoin,"NXTInspect, Bitcoin",0.00%,Poloniex,0.1
Nxt Asset Exchange - NXTInspect / Nxt,"NXTInspect, Nxt",0.00%,Nxt Asset Exchange,0.09
Nxt Asset Exchange - NXTprivacy / Nxt,"NXTprivacy, Nxt",0.00%,Nxt Asset Exchange,0.56
Nxt Asset Exchange - NXTventure / Nxt,"NXTventure, Nxt",0.00%,Nxt Asset Exchange,2.52
AllCoin - Orbitcoin / Bitcoin,"Orbitcoin, Bitcoin",0.00%,AllCoin,0.02
Coins-E - Orbitcoin / Bitcoin,"Orbitcoin, Bitcoin",0.00%,Coins-E,0.02
Cryptsy - Orbitcoin / Bitcoin,"Orbitcoin, Bitcoin",0.00%,Cryptsy,0.02
useCryptos - Orbitcoin / Bitcoin,"Orbitcoin, Bitcoin",0.00%,useCryptos,0.02
useCryptos - Orbitcoin / Euro,"Orbitcoin, Euro",0.00%,useCryptos,0.04
Crypto-Trade - Orbitcoin / US Dollar,"Orbitcoin, US Dollar",0.00%,Crypto-Trade,0.03
useCryptos - Orbitcoin / US Dollar,"Orbitcoin, US Dollar",0.00%,useCryptos,0.04
AllCoin - Peercoin / Bitcoin,"Peercoin, Bitcoin",0.36%,AllCoin,1.03
BTC-E - Peercoin / Bitcoin,"Peercoin, Bitcoin",0.36%,BTC-E,1.04
BTER - Peercoin / Bitcoin,"Peercoin, Bitcoin",0.36%,BTER,1.03
Cryptsy - Peercoin / Bitcoin,"Peercoin, Bitcoin",0.36%,Cryptsy,1.04
Vircurex - Peercoin / Bitcoin,"Peercoin, Bitcoin",0.36%,Vircurex,1.03
Vault of Satoshi - Peercoin / Canadian Dollars,"Peercoin, Canadian Dollars",0.36%,Vault of Satoshi,1.07
BTC - Peercoin / Chinese Yuan,"Peercoin, Chinese Yuan",0.36%,BTC,1.01
BTER - Peercoin / Chinese Yuan,"Peercoin, Chinese Yuan",0.36%,BTER,1.03
Cryptsy - Peercoin / Litecoin,"Peercoin, Litecoin",0.36%,Cryptsy,1.11
BTC-E - Peercoin / US Dollar,"Peercoin, US Dollar",0.36%,BTC-E,1.02
Cryptsy - Philosopher Stones / Bitcoin,"Philosopher Stones, Bitcoin",0.00%,Cryptsy,0.04
BTC-E - Primecoin / Bitcoin,"Primecoin, Bitcoin",0.07%,BTC-E,0.2
BTER - Primecoin / Bitcoin,"Primecoin, Bitcoin",0.07%,BTER,0.2
Cryptsy - Primecoin / Bitcoin,"Primecoin, Bitcoin",0.07%,Cryptsy,0.19
mcxNOW - Primecoin / Bitcoin,"Primecoin, Bitcoin",0.07%,mcxNOW,0.18
Poloniex - Primecoin / Bitcoin,"Primecoin, Bitcoin",0.07%,Poloniex,0.19
SwissCEX - Primecoin / Bitcoin,"Primecoin, Bitcoin",0.07%,SwissCEX,0.25
Vircurex - Primecoin / Bitcoin,"Primecoin, Bitcoin",0.07%,Vircurex,0.19
BTC - Primecoin / Chinese Yuan,"Primecoin, Chinese Yuan",0.07%,BTC,0.19
BTER - Primecoin / Chinese Yuan,"Primecoin, Chinese Yuan",0.07%,BTER,0.2
Cryptsy - Primecoin / Litecoin,"Primecoin, Litecoin",0.07%,Cryptsy,0.19
Nxt Asset Exchange - Privatebet / Nxt,"Privatebet, Nxt",0.00%,Nxt Asset Exchange,0.69
Poloniex - Qibuck / Bitcoin,"Qibuck, Bitcoin",0.00%,Poloniex,0.15
Bittrex - Quatloo / Bitcoin,"Quatloo, Bitcoin",0.01%,Bittrex,0.02
Coin-Swap - Quatloo / Bitcoin,"Quatloo, Bitcoin",0.01%,Coin-Swap,0.03
Poloniex - Quatloo / Bitcoin,"Quatloo, Bitcoin",0.01%,Poloniex,0.03
Bittrex - Razor / Bitcoin,"Razor, Bitcoin",0.00%,Bittrex,0.06
Coins-E - Razor / Bitcoin,"Razor, Bitcoin",0.00%,Coins-E,0.08
Cryptsy - Razor / Bitcoin,"Razor, Bitcoin",0.00%,Cryptsy,0.07
Bittrex - Razor / BlackCoin,"Razor, BlackCoin",0.00%,Bittrex,0.09
Cryptsy - Razor / Litecoin,"Razor, Litecoin",0.00%,Cryptsy,0.08
Cryptsy - RonPaulCoin / Bitcoin,"RonPaulCoin, Bitcoin",0.00%,Cryptsy,0.04
Bittrex - RootCoin / Bitcoin,"RootCoin, Bitcoin",0.00%,Bittrex,0.02
C-CEX - RootCoin / Bitcoin,"RootCoin, Bitcoin",0.00%,C-CEX,0.04
BTER - SecureCoin / Bitcoin,"SecureCoin, Bitcoin",0.00%,BTER,0.02
Cryptsy - SecureCoin / Bitcoin,"SecureCoin, Bitcoin",0.00%,Cryptsy,0.02
BTC - SecureCoin / Chinese Yuan,"SecureCoin, Chinese Yuan",0.00%,BTC,0.02
BTER - SecureCoin / Chinese Yuan,"SecureCoin, Chinese Yuan",0.00%,BTER,0.02
Bittrex - SeedCoin / Bitcoin,"SeedCoin, Bitcoin",0.00%,Bittrex,0.06
Bittrex - ShadowCash / Bitcoin,"ShadowCash, Bitcoin",0.00%,Bittrex,0.07
C-CEX - ShadowCash / Bitcoin,"ShadowCash, Bitcoin",0.00%,C-CEX,0.07
Coin-Swap - ShadowCash / Bitcoin,"ShadowCash, Bitcoin",0.00%,Coin-Swap,0.38
Cryptsy - ShadowCash / Bitcoin,"ShadowCash, Bitcoin",0.00%,Cryptsy,0.07
Poloniex - ShadowCash / Bitcoin,"ShadowCash, Bitcoin",0.00%,Poloniex,0.08
Bittrex - Startcoin / Bitcoin,"Startcoin, Bitcoin",0.02%,Bittrex,0.07
Bittylicious - Startcoin / British Pound,"Startcoin, British Pound",0.02%,Bittylicious,0.1
Bittrex - Stealthcoin / Bitcoin,"Stealthcoin, Bitcoin",0.03%,Bittrex,0.02
Coin-Swap - Stealthcoin / Bitcoin,"Stealthcoin, Bitcoin",0.03%,Coin-Swap,0.04
Poloniex - Stealthcoin / Bitcoin,"Stealthcoin, Bitcoin",0.03%,Poloniex,0.02
Counterparty DEX - Storjcoin X / Counterparty,"Storjcoin X, Counterparty",0.01%,Counterparty DEX,0.02
BTER - SuperNET / Bitcoin,"SuperNET, Bitcoin",0.02%,BTER,3.9
Poloniex - SuperNET / Bitcoin,"SuperNET, Bitcoin",0.02%,Poloniex,3.82
BTER - SuperNET / Chinese Yuan,"SuperNET, Chinese Yuan",0.02%,BTER,4.2
BTER - SuperNET / Nxt,"SuperNET, Nxt",0.02%,BTER,3.61
Nxt Asset Exchange - SuperNET / Nxt,"SuperNET, Nxt",0.02%,Nxt Asset Exchange,3.82
Counterparty DEX - Swarm / Bitcoin,"Swarm, Bitcoin",0.00%,Counterparty DEX,0.02
Poloniex - Swarm / Bitcoin,"Swarm, Bitcoin",0.00%,Poloniex,0.02
Bittrex - Sync / Bitcoin,"Sync, Bitcoin",0.00%,Bittrex,229.14
Cryptsy - Sync / Bitcoin,"Sync, Bitcoin",0.00%,Cryptsy,220.06
Poloniex - Sync / Bitcoin,"Sync, Bitcoin",0.00%,Poloniex,263.51
BTER - TagCoin / Bitcoin,"TagCoin, Bitcoin",0.00%,BTER,0.04
Cryptsy - TagCoin / Bitcoin,"TagCoin, Bitcoin",0.00%,Cryptsy,0.05
BTC - TagCoin / Chinese Yuan,"TagCoin, Chinese Yuan",0.00%,BTC,0.05
BTER - TagCoin / Chinese Yuan,"TagCoin, Chinese Yuan",0.00%,BTER,0.04
Cryptsy - TagCoin / Ripple,"TagCoin, Ripple",0.00%,Cryptsy,0.04
AllCoin - Techcoin / Bitcoin,"Techcoin, Bitcoin",0.00%,AllCoin,0.03
Bittrex - Techcoin / Bitcoin,"Techcoin, Bitcoin",0.00%,Bittrex,0.04
Cryptsy - TEKcoin / Bitcoin,"TEKcoin, Bitcoin",0.00%,Cryptsy,0.04
Cryptsy - TEKcoin / Ripple,"TEKcoin, Ripple",0.00%,Cryptsy,0.03
BTC-E - Terracoin / Bitcoin,"Terracoin, Bitcoin",0.00%,BTC-E,0.03
Crypto-Trade - Terracoin / Bitcoin,"Terracoin, Bitcoin",0.00%,Crypto-Trade,0.02
Cryptonit - Terracoin / Bitcoin,"Terracoin, Bitcoin",0.00%,Cryptonit,0.03
Cryptsy - Terracoin / Bitcoin,"Terracoin, Bitcoin",0.00%,Cryptsy,0.03
Vircurex - Terracoin / Bitcoin,"Terracoin, Bitcoin",0.00%,Vircurex,0.02
Nxt Asset Exchange - Tradebots / Nxt,"Tradebots, Nxt",0.00%,Nxt Asset Exchange,0.49
Bittrex - Triangles / Bitcoin,"Triangles, Bitcoin",0.00%,Bittrex,0.19
Bittrex - UltraCoin / Bitcoin,"UltraCoin, Bitcoin",0.01%,Bittrex,0.02
Crypto-Trade - UltraCoin / Bitcoin,"UltraCoin, Bitcoin",0.01%,Crypto-Trade,0.02
Cryptsy - UltraCoin / Bitcoin,"UltraCoin, Bitcoin",0.01%,Cryptsy,0.02
Crypto-Trade - UltraCoin / Litecoin,"UltraCoin, Litecoin",0.01%,Crypto-Trade,0.02
Crypto-Trade - UltraCoin / US Dollar,"UltraCoin, US Dollar",0.01%,Crypto-Trade,0.02
Bittrex - Umbrella-LTC / Bitcoin,"Umbrella-LTC, Bitcoin",0.01%,Bittrex,0.18
Bittrex - Unattainium / Bitcoin,"Unattainium, Bitcoin",0.00%,Bittrex,0.03
Bittrex - Unobtanium / Bitcoin,"Unobtanium, Bitcoin",0.00%,Bittrex,2.63
Coinbroker - Unobtanium / Bitcoin,"Unobtanium, Bitcoin",0.00%,Coinbroker,2.88
Cryptsy - Unobtanium / Bitcoin,"Unobtanium, Bitcoin",0.00%,Cryptsy,2.64
Cryptsy - Unobtanium / Ripple,"Unobtanium, Ripple",0.00%,Cryptsy,2.2
Bittrex - Uro / Bitcoin,"Uro, Bitcoin",0.09%,Bittrex,0.88
Cryptsy - Uro / Bitcoin,"Uro, Bitcoin",0.09%,Cryptsy,1
Poloniex - Uro / Bitcoin,"Uro, Bitcoin",0.09%,Poloniex,0.95
Bittrex - UtilityCoin / Bitcoin,"UtilityCoin, Bitcoin",0.03%,Bittrex,0.03
C-CEX - UtilityCoin / Bitcoin,"UtilityCoin, Bitcoin",0.03%,C-CEX,0.03
Bittrex - VaultCoin / Bitcoin,"VaultCoin, Bitcoin",0.00%,Bittrex,3.44
C-CEX - VaultCoin / Bitcoin,"VaultCoin, Bitcoin",0.00%,C-CEX,0.18
AllCoin - VeriCoin / Bitcoin,"VeriCoin, Bitcoin",0.02%,AllCoin,0.04
Bittrex - VeriCoin / Bitcoin,"VeriCoin, Bitcoin",0.02%,Bittrex,0.03
Bleutrade - VeriCoin / Bitcoin,"VeriCoin, Bitcoin",0.02%,Bleutrade,0.04
BTER - VeriCoin / Bitcoin,"VeriCoin, Bitcoin",0.02%,BTER,0.03
Coinbroker - VeriCoin / Bitcoin,"VeriCoin, Bitcoin",0.02%,Coinbroker,0.04
Cryptsy - VeriCoin / Bitcoin,"VeriCoin, Bitcoin",0.02%,Cryptsy,0.03
Poloniex - VeriCoin / Bitcoin,"VeriCoin, Bitcoin",0.02%,Poloniex,0.03
BTER - VeriCoin / Chinese Yuan,"VeriCoin, Chinese Yuan",0.02%,BTER,0.03
Cryptsy - VeriCoin / Litecoin,"VeriCoin, Litecoin",0.02%,Cryptsy,0.04
Bittrex - Vertcoin / Bitcoin,"Vertcoin, Bitcoin",0.03%,Bittrex,0.07
BTER - Vertcoin / Bitcoin,"Vertcoin, Bitcoin",0.03%,BTER,0.07
Cryptsy - Vertcoin / Bitcoin,"Vertcoin, Bitcoin",0.03%,Cryptsy,0.07
Poloniex - Vertcoin / Bitcoin,"Vertcoin, Bitcoin",0.03%,Poloniex,0.07
SwissCEX - Vertcoin / Bitcoin,"Vertcoin, Bitcoin",0.03%,SwissCEX,0.04
Vircurex - Vertcoin / Bitcoin,"Vertcoin, Bitcoin",0.03%,Vircurex,0.07
Vault of Satoshi - Vertcoin / Canadian Dollars,"Vertcoin, Canadian Dollars",0.03%,Vault of Satoshi,0.06
BTER - Vertcoin / Chinese Yuan,"Vertcoin, Chinese Yuan",0.03%,BTER,0.07
Cryptsy - Vertcoin / Litecoin,"Vertcoin, Litecoin",0.03%,Cryptsy,0.07
Cryptsy - Vertcoin / Ripple,"Vertcoin, Ripple",0.03%,Cryptsy,0.07
Bittrex - Viacoin / Bitcoin,"Viacoin, Bitcoin",0.02%,Bittrex,0.07
BTER - Viacoin / Bitcoin,"Viacoin, Bitcoin",0.02%,BTER,0.07
Coin-Swap - Viacoin / Bitcoin,"Viacoin, Bitcoin",0.02%,Coin-Swap,0.23
Cryptsy - Viacoin / Bitcoin,"Viacoin, Bitcoin",0.02%,Cryptsy,0.07
Poloniex - Viacoin / Bitcoin,"Viacoin, Bitcoin",0.02%,Poloniex,0.08
SwissCEX - Viacoin / Bitcoin,"Viacoin, Bitcoin",0.02%,SwissCEX,0.03
Bittrex - Vidio / Bitcoin,"Vidio, Bitcoin",0.18%,Bittrex,381.9
Bittrex - Viking Coin / Bitcoin,"Viking Coin, Bitcoin",0.00%,Bittrex,1.29
AllCoin - WankCoin / Bitcoin,"WankCoin, Bitcoin",0.00%,AllCoin,0.03
Bittrex - WankCoin / Bitcoin,"WankCoin, Bitcoin",0.00%,Bittrex,0.02
C-CEX - X-Children / Bitcoin,"X-Children, Bitcoin",0.00%,C-CEX,0.02
Bittrex - XCash / Bitcoin,"XCash, Bitcoin",0.00%,Bittrex,0.04
Cryptsy - XCash / Bitcoin,"XCash, Bitcoin",0.00%,Cryptsy,0.04
Bittrex - XCloudcoin / Bitcoin,"XCloudcoin, Bitcoin",0.00%,Bittrex,0.02
Bittrex - XCurrency / Bitcoin,"XCurrency, Bitcoin",0.06%,Bittrex,0.44
BTER - XCurrency / Bitcoin,"XCurrency, Bitcoin",0.06%,BTER,0.41
Coinbroker - XCurrency / Bitcoin,"XCurrency, Bitcoin",0.06%,Coinbroker,0.43
Cryptsy - XCurrency / Bitcoin,"XCurrency, Bitcoin",0.06%,Cryptsy,0.42
Poloniex - XCurrency / Bitcoin,"XCurrency, Bitcoin",0.06%,Poloniex,0.45
Cryptsy - XCurrency / Litecoin,"XCurrency, Litecoin",0.06%,Cryptsy,0.43
Cryptsy - YbCoin / Bitcoin,"YbCoin, Bitcoin",0.04%,Cryptsy,0.36
Ybex - YbCoin / Bitcoin,"YbCoin, Bitcoin",0.04%,Ybex,0.47
BTC - YbCoin / Chinese Yuan,"YbCoin, Chinese Yuan",0.04%,BTC,0.45
Yuanbaohui - YbCoin / Chinese Yuan,"YbCoin, Chinese Yuan",0.04%,Yuanbaohui,0.45
Vault of Satoshi - Zetacoin / Canadian Dollars,"Zetacoin, Canadian Dollars",0.00%,Vault of Satoshi,8.88
